Food,Category,Grams,Calories,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,satfat_per_100g,category_encoded
Apple betty,"Desserts, sweets",100,150.0,150.0,1.0,4.0,29.0,0.5,0.0,2
Bread pudding,"Desserts, sweets",200,374.0,187.0,5.5,6.0,28.0,0.1,5.5,2
Cakes,"Desserts, sweets",40,110.0,275.0,7.5,0.0,57.5,0.0,0.0,2
Chocolate fudge,"Desserts, sweets",120,420.0,350.0,4.17,11.67,58.33,0.25,10.0,2
Cupcake,"Desserts, sweets",50,160.0,320.0,6.0,6.0,62.0,0.0,4.0,2
Fruit cake,"Desserts, sweets",30,105.0,350.0,6.67,13.33,56.67,0.67,10.0,2
Gingerbread,"Desserts, sweets",55,180.0,327.27,3.64,12.73,50.91,0.0,10.91,2
"Plain, with no icing","Desserts, sweets",55,180.0,327.27,7.27,9.09,56.36,0.0,7.27,2
Sponge cake,"Desserts, sweets",40,115.0,287.5,7.5,5.0,55.0,0.0,5.0,2
Candy,"Desserts, sweets",25,104.0,416.0,0.0,12.0,76.0,0.0,12.0,2
Chocolate creams,"Desserts, sweets",30,130.0,433.33,0.0,13.33,80.0,0.0,13.33,2
Fudge,"Desserts, sweets",90,370.0,411.11,0.0,13.33,88.89,0.11,12.22,2
Hard candies,"Desserts, sweets",28,90.0,321.43,0.0,0.0,100.0,0.0,0.0,2
Marshmallows,"Desserts, sweets",30,98.0,326.67,3.33,0.0,76.67,0.0,0.0,2
Milk chocolate,"Desserts, sweets",56,290.0,517.86,3.57,10.71,78.57,0.36,10.71,2
Chocolate syrup,"Desserts, sweets",40,80.0,200.0,0.0,0.0,55.0,0.0,0.0,2
Doughnuts,"Desserts, sweets",33,135.0,409.09,6.06,21.21,51.52,0.0,12.12,2
"Gelatin, made with water","Desserts, sweets",239,155.0,64.85,1.67,0.0,15.06,0.0,0.0,2
Honey,"Jams, Jellies",42,120.0,285.71,0.0,0.0,71.43,0.0,0.0,9
Ice cream,"Desserts, sweets",300,250.0,83.33,0.0,0.0,0.0,3.33,4.0,2
Ices,"Desserts, sweets",150,117.0,78.0,0.0,0.0,32.0,0.0,0.0,2
preserves,"Jams, Jellies",20,55.0,275.0,0.0,0.0,70.0,0.0,0.0,9
Jellies,"Jams, Jellies",20,50.0,250.0,0.0,0.0,65.0,0.0,0.0,9
Molasses,"Jams, Jellies",20,45.0,225.0,0.0,0.0,55.0,40.0,0.0,9
Cane Syrup,"Jams, Jellies",20,50.0,250.0,0.0,0.0,65.0,0.0,0.0,9
"9"" diam. pie","Desserts, sweets",135,330.0,244.44,2.22,9.63,39.26,0.07,8.15,2
Cherry Pie,"Desserts, sweets",135,340.0,251.85,2.22,9.63,40.74,0.07,8.15,2
Custard,"Desserts, sweets",130,265.0,203.85,5.38,8.46,26.15,0.0,7.69,2
Lemon meringue,"Desserts, sweets",120,300.0,250.0,3.33,10.0,37.5,0.08,8.33,2
Mince,"Desserts, sweets",135,340.0,251.85,2.22,6.67,45.93,0.52,5.93,2
Pumpkin Pie,"Desserts, sweets",130,265.0,203.85,3.85,9.23,26.15,6.15,8.46,2
Puddings Sugar,"Desserts, sweets",200,770.0,385.0,0.0,0.0,99.5,0.0,0.0,2
3 teaspoons sugar,"Desserts, sweets",12,50.0,416.67,0.0,0.0,100.0,0.0,0.0,2
"Brown, firm-packed, dark sugar","Jams, Jellies",220,815.0,370.45,0.0,0.0,95.45,0.0,0.0,9
Syrup,"Jams, Jellies",40,100.0,250.0,0.0,0.0,62.5,0.0,0.0,9
table blends sugar,"Jams, Jellies",40,110.0,275.0,0.0,0.0,72.5,0.0,0.0,9
Tapioca cream pudding,"Desserts, sweets",250,335.0,134.0,4.0,4.0,16.8,0.0,3.6,2
Almonds,Seeds and Nuts,70,425.0,607.14,18.57,54.29,18.57,2.57,40.0,11
roasted and salted,Seeds and Nuts,70,439.0,627.14,18.57,57.14,18.57,2.57,44.29,11
Brazil nuts,Seeds and Nuts,70,457.0,652.86,14.29,67.14,10.0,2.86,44.29,11
Cashews,Seeds and Nuts,70,392.0,560.0,17.14,45.71,28.57,1.29,40.0,11
coconut sweetened,Seeds and Nuts,50,274.0,548.0,2.0,40.0,52.0,4.0,38.0,11
Peanut butter,Seeds and Nuts,50,300.0,600.0,24.0,50.0,18.0,1.8,34.0,11
"Peanut butter, natural",Seeds and Nuts,50,284.0,568.0,26.0,48.0,16.0,1.8,20.0,11
Peanuts,Seeds and Nuts,50,290.0,580.0,26.0,50.0,18.0,2.4,32.0,11
Pecans,Seeds and Nuts,52,343.0,659.62,9.62,67.31,13.46,2.12,48.08,11
Sesame seeds,Seeds and Nuts,50,280.0,560.0,18.0,48.0,20.0,6.2,26.0,11
Sunflower seeds,Seeds and Nuts,50,280.0,560.0,24.0,52.0,20.0,3.8,14.0,11
Walnuts,Seeds and Nuts,50,325.0,650.0,14.0,64.0,16.0,2.0,14.0,11
Beer,"Drinks,Alcohol, Beverages",480,228.0,47.5,0.0,0.0,1.67,0.0,0.0,3
Gin,"Drinks,Alcohol, Beverages",28,70.0,250.0,0.0,0.0,0.0,0.0,0.0,3
Wines,"Drinks,Alcohol, Beverages",120,164.0,136.67,0.0,0.0,7.5,0.0,0.0,3
Table (12.2% alcohol),"Drinks,Alcohol, Beverages",120,100.0,83.33,0.0,0.0,4.17,0.0,0.0,3
Carbonated drinks Artificially sweetened,"Drinks,Alcohol, Beverages",346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Club soda,"Drinks,Alcohol, Beverages",346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Cola drinks,"Drinks,Alcohol, Beverages",346,137.0,39.6,0.0,0.0,10.98,0.0,0.0,3
Fruit-flavored soda,"Drinks,Alcohol, Beverages",346,161.0,46.53,0.0,0.0,12.14,0.0,0.0,3
Ginger ale,"Drinks,Alcohol, Beverages",346,105.0,30.35,0.0,0.0,8.09,0.0,0.0,3
Root beer,"Drinks,Alcohol, Beverages",346,140.0,40.46,0.0,0.0,10.12,0.0,0.0,3
Coffee,"Drinks,Alcohol, Beverages",230,3.0,1.3,0.0,0.0,0.43,0.0,0.0,3
Tea,"Drinks,Alcohol, Beverages",230,4.0,1.74,0.0,0.0,0.43,0.0,0.0,3
